,Species,event,2005,2006,2007,2008,2009,2010,2011,2012
1,Betula pubescens* (Germany),leaf_unfolding,07/04/2005,06/04/2006 12:00,11 th Apr 2007,20080404,Apr 10 th 2009,21/04/2010 15:35,2/4/2011 10.20.35,Apr-12
2,Fagus sylvatica (Hardegsen)* (Germany),leaf_unfolding,22/04/2005,23/04/2006 12:00,16 th Apr 2007,NA,NA,NA,19/4/2011 10.20.35,May-12
3,Quercus robur (Wolfgang)* (Germany),leaf_unfolding,01/05/2005,03/05/2006 12:00,21 th Apr 2007,20080425,Apr 19 th 2009,28/04/2010 15:35,28/4/2011 10.20.35,May-12
4,Quercus robur (Wolfgang)* (Germany),autumn_colouring,07/10/2005,NA,17 th Oct 2007,20081015,Sep 21 th 2009,10/10/2010 15:35,25/10/2011 10.20.35,Oct-12
5,Quercus robur (Wolfgang)* (Germany),leaf_fall,02/11/2005,NA,3 th Nov 2007,20081028,Nov 2 th 2009,04/11/2010 15:35,24/11/2011 10.20.35,Nov-12
6,Tilia cordata* (Germany),leaf_unfolding,22/04/2005,23/04/2006 12:00,NA,20080430,NA,28/04/2010 15:35,9/4/2011 10.20.35,May-12
7,Tilia cordata* (Germany),leaf_fall,07/10/2005,NA,NA,NA,NA,NA,24/11/2011 10.20.35,Oct-12
8,Ribes alpinum* (Austria),leaf_unfolding,30/03/2005,08/03/2006 12:00,11 th Mar 2007,20080305,Mar 10 th 2009,13/03/2010 15:35,22/2/2011 10.20.35,Mar-12
9,Ribes alpinum* (Austria),begins_flowering,05/04/2005,19/04/2006 12:00,8 th Apr 2007,20080404,Apr 5 th 2009,13/04/2010 15:35,24/3/2011 10.20.35,Mar-12
10,Ribes alpinum* (Austria),general_flowering,19/04/2005,29/04/2006 12:00,27 th Apr 2007,20080417,Apr 10 th 2009,05/05/2010 15:35,29/3/2011 10.20.35,Apr-12
11,Ribes alpinum* (Austria),autumn_colouring,21/09/2005,NA,17 th Oct 2007,20080926,Sep 4 th 2009,01/09/2010 15:35,29/9/2011 10.20.35,Sep-12
12,Ribes alpinum* (Austria),leaf_fall,06/10/2005,NA,NA,20081010,Oct 2 th 2009,15/10/2010 15:35,8/10/2011 10.20.35,Oct-12
13,Salix aurita* (Germany),leaf_unfolding,29/04/2005,16/05/2006 12:00,NA,NA,NA,NA,12/4/2011 10.20.35,May-12
14,Salix aurita* (Germany),autumn_colouring,21/10/2005,NA,NA,NA,NA,15/10/2010 15:35,25/10/2011 10.20.35,Oct-12
15,Salix aurita* (Germany),leaf_fall,08/11/2005,NA,NA,NA,NA,18/11/2010 15:35,24/11/2011 10.20.35,Nov-12
16,Salix acutifolia* (Germany),leaf_unfolding,05/04/2005,23/04/2006 12:00,6 th Apr 2007,20080325,May 1 th 2009,07/04/2010 15:35,8/3/2011 10.20.35,Mar-12
17,Salix acutifolia* (Germany),begins_flowering,25/03/2005,13/04/2006 12:00,6 th Apr 2007,20080315,Mar 11 th 2009,20/03/2010 15:35,8/3/2011 10.20.35,Mar-12
18,Salix acutifolia* (Germany),general_flowering,29/03/2005,18/04/2006 12:00,27 th Apr 2007,20080327,Mar 16 th 2009,05/04/2010 15:35,24/3/2011 10.20.35,Mar-12
19,Salix acutifolia* (Germany),autumn_colouring,02/10/2005,NA,17 th Oct 2007,20080920,Oct 21 th 2009,15/10/2010 15:35,25/10/2011 10.20.35,Sep-12
20,Salix acutifolia* (Germany),leaf_fall,02/11/2005,NA,2 th Nov 2007,20081001,Oct 26 th 2009,04/11/2010 15:35,24/11/2011 10.20.35,Nov-12
21,Salix smithiana* (Germany),leaf_unfolding,30/03/2005,03/05/2006 12:00,16 th Mar 2007,20080325,Mar 20 th 2009,07/04/2010 15:35,8/3/2011 10.20.35,Mar-12
22,Salix smithiana* (Germany),begins_flowering,30/03/2005,01/04/2006 12:00,7 th Mar 2007,20080305,Mar 10 th 2009,20/03/2010 15:35,8/3/2011 10.20.35,Mar-12
23,Salix smithiana* (Germany),general_flowering,06/04/2005,15/04/2006 12:00,21 th Mar 2007,20080320,Mar 20 th 2009,26/03/2010 15:35,24/3/2011 10.20.35,Mar-12
24,Salix smithiana* (Germany),autumn_colouring,26/10/2005,NA,21 th Sep 2007,20081002,Nov 26 th 2009,17/09/2010 15:35,8/11/2011 10.20.35,Oct-12
25,Salix smithiana* (Germany),leaf_fall,02/11/2005,NA,6 th Nov 2007,20081015,NA,04/11/2010 15:35,24/11/2011 10.20.35,Dec-12
26,Salix viminalis* (Germany),leaf_unfolding,30/03/2005,15/04/2006 12:00,20 th Feb 2007,20080305,Mar 20 th 2009,07/04/2010 15:35,8/3/2011 10.20.35,Mar-12
27,Salix viminalis* (Germany),begins_flowering,25/03/2005,01/04/2006 12:00,7 th Mar 2007,20080315,NA,20/03/2010 15:35,8/3/2011 10.20.35,Mar-12
28,Salix viminalis* (Germany),general_flowering,02/04/2005,07/04/2006 12:00,21 th Mar 2007,20080320,Mar 20 th 2009,30/04/2010 15:35,24/3/2011 10.20.35,Mar-12
29,Salix viminalis* (Germany),autumn_colouring,06/11/2005,NA,17 th Oct 2007,20081016,Nov 4 th 2009,17/09/2010 15:35,8/11/2011 10.20.35,Sep-12
30,Salix viminalis* (Germany),leaf_fall,20/11/2005,NA,2 th Nov 2007,20081030,Nov 21 th 2009,04/11/2010 15:35,24/11/2011 10.20.35,Nov-12
31,Sambucus nigra* (Germany),leaf_unfolding,05/02/2005,15/02/2006 12:00,20 th Feb 2007,20080228,NA,NA,NA,NA
32,Corylus avellana*,leaf_unfolding,31/03/2005,24/03/2006 12:00,11 th Mar 2007,20080325,Mar 20 th 2009,07/04/2010 15:35,24/3/2011 10.20.35,Mar-12
33,Corylus avellana*,autumn_colouring,11/10/2005,NA,21 th Oct 2007,20080926,NA,24/08/2010 15:35,24/7/2011 10.20.35,Sep-12
34,Corylus avellana*,leaf_fall,08/11/2005,NA,6 th Nov 2007,NA,NA,06/11/2010 15:35,24/11/2011 10.20.35,Oct-12
35,Forsythia suspensa,general_flowering,19/03/2005,03/04/2006 12:00,20 th Feb 2007,20080229,Mar 14 th 2009,30/03/2010 15:35,NA,Mar-12
36,Forsythia suspensa,ripe_fruit,26/03/2005,08/04/2006 12:00,22 th Mar 2007,20080305,Mar 20 th 2009,07/04/2010 15:35,NA,Mar-12
37,Forsythia suspensa,leaf_fall,08/11/2005,NA,3 th Nov 2007,20081016,Sep 11 th 2009,05/10/2010 15:35,15/9/2011 10.20.35,Sep-12
38,Syringa x chinensis,leaf_fall,07/10/2005,NA,17 th Oct 2007,20080102,Sep 11 th 2009,04/11/2010 15:35,25/10/2011 10.20.35,Sep-12
39,Salix aurita* (Germany),begins_flowering,NA,13/06/2006 12:00,NA,NA,NA,NA,19/4/2011 10.20.35,NA
40,Salix aurita* (Germany),general_flowering,NA,16/06/2006 12:00,NA,NA,NA,NA,28/4/2011 10.20.35,NA
41,Sambucus nigra* (Germany),ripe_fruit,NA,26/04/2006 12:00,NA,NA,NA,NA,NA,NA
42,Syringa x chinensis,general_flowering,NA,09/05/2006 12:00,20 th Apr 2007,NA,NA,21/05/2010 15:35,19/4/2011 10.20.35,May-12
43,Syringa x chinensis,ripe_fruit,NA,13/05/2006 12:00,2 th May 2007,NA,NA,26/05/2010 15:35,4/5/2011 10.20.35,May-12
44,Betula pubescens* (Germany),begins_flowering,NA,NA,17 th Apr 2007,NA,NA,NA,19/4/2011 10.20.35,NA
45,Betula pubescens* (Germany),general_flowering,NA,NA,1 th May 2007,NA,NA,28/04/2010 15:35,28/4/2011 10.20.35,NA
46,Betula pubescens* (Germany),autumn_colouring,NA,NA,30 th Oct 2007,NA,NA,05/10/2010 15:35,25/10/2011 10.20.35,Oct-12
47,Betula pubescens* (Germany),leaf_fall,NA,NA,11 th Nov 2007,NA,NA,04/11/2010 15:35,24/11/2011 10.20.35,Nov-12
48,Ribes alpinum* (Austria),ripe_fruit,NA,NA,21 th Sep 2007,NA,NA,NA,NA,NA
49,Sambucus nigra* (Germany),autumn_colouring,NA,NA,21 th Sep 2007,NA,NA,15/10/2010 15:35,NA,NA
50,Sambucus nigra* (Germany),leaf_fall,NA,NA,17 th Oct 2007,20080920,NA,04/11/2010 15:35,NA,NA
51,Tilia cordata* (Germany),autumn_colouring,NA,NA,NA,20081003,NA,NA,8/11/2011 10.20.35,Sep-12
52,Larix decidua* (Germany),autumn_colouring,NA,NA,NA,NA,NA,15/10/2010 15:35,NA,NA
53,Larix decidua* (Germany),leaf_fall,NA,NA,NA,NA,NA,18/11/2010 15:35,NA,NA
54,Fagus sylvatica (Hardegsen)* (Germany),autumn_colouring,NA,NA,NA,NA,NA,06/10/2010 15:35,25/10/2011 10.20.35,Sep-12
55,Fagus sylvatica (Hardegsen)* (Germany),leaf_fall,NA,NA,NA,NA,NA,21/10/2010 15:35,24/11/2011 10.20.35,Oct-12
56,Fagus sylvatica (Düdelsheim) (Germany),autumn_colouring,NA,NA,NA,NA,NA,06/10/2010 15:35,NA,NA
57,Fagus sylvatica (Düdelsheim) (Germany),leaf_fall,NA,NA,NA,NA,NA,28/10/2010 15:35,NA,NA
58,Populus tremula* (Germany),autumn_colouring,NA,NA,NA,NA,NA,15/10/2010 15:35,NA,NA
59,Populus tremula* (Germany),leaf_fall,NA,NA,NA,NA,NA,04/11/2010 15:35,NA,NA
60,Prunus avium (Bovenden)* (Germany),autumn_colouring,NA,NA,NA,NA,NA,20/08/2010 15:35,NA,NA
61,Prunus avium (Bovenden)* (Germany),leaf_fall,NA,NA,NA,NA,NA,15/10/2010 15:35,NA,NA
62,Quercus robur (Wolfgang)* (Germany),ripe_fruit,NA,NA,NA,NA,NA,24/08/2010 15:35,29/9/2011 10.20.35,NA
63,Sorbus aucuparia* (Czech Rep.),ripe_fruit,NA,NA,NA,NA,NA,21/07/2010 15:35,NA,NA
64,Sorbus aucuparia* (Czech Rep.),autumn_colouring,NA,NA,NA,NA,NA,17/09/2010 15:35,NA,NA
65,Sorbus aucuparia* (Czech Rep.),leaf_fall,NA,NA,NA,NA,NA,15/10/2010 15:35,NA,NA
66,Corylus avellana*,begins_flowering,NA,NA,NA,NA,NA,23/02/2010 15:35,NA,NA
67,Corylus avellana*,general_flowering,NA,NA,NA,NA,NA,12/03/2010 15:35,NA,NA
68,Picea abies (late)* (Germany),general_flowering,NA,NA,NA,NA,NA,NA,12/4/2011 10.20.35,NA
